order_id,customer_id,order_status,order_date,items_total,payments_total
54282e97f61c23b78330c15b154c867d,4b7decb9b58e2569548b8b4c8e20e8d7,shipped,"2018-09-03 09:06:57",166.46,1.00
35a972d7f8436f405b56e36add1a7140,898b7fee99c4e42170ab69ba59be0a8b,delivered,"2018-08-29 15:00:37",93.75,1.00
03ef5dedbe7492bdae72eec50764c43f,496630b6740bcca28fce9ba50d8a26ef,delivered,"2018-08-29 14:52:00",33.23,1.00
168626408cb32af0ffaf76711caae1dc,6e353700bc7bcdf6ebc15d6de16d7002,delivered,"2018-08-29 14:18:28",61.29,1.00
0b223d92c27432930dfe407c6aea3041,e60df9449653a95af4549bbfcb18a6eb,delivered,"2018-08-29 14:18:23",510.96,8.00
52018484704db3661b98ce838612b507,e450a297a7bc6839ceb0cf1a2377fa02,delivered,"2018-08-29 12:25:59",73.10,7.00
d03ca98f59480e7e76c71fa83ecd8fb6,56b1ac2855cc6d7950b4ffa6a9b41b0d,delivered,"2018-08-29 11:06:11",119.42,2.00
d70442bc5e3cb7438da497cc6a210f80,10a79ef2783cae3d8d678e85fde235ac,delivered,"2018-08-29 10:22:35",14.29,1.00
912859fef5a0bd5059b6d48fa79d121a,b8c19e70d00f6927388e4f31c923d785,delivered,"2018-08-29 09:48:09",178.25,1.00
fb393211459aac00af932cd7ab4fa2cc,54365416b7ef5599f54a6c7821d5d290,delivered,"2018-08-29 09:14:11",106.95,1.00
bee12e8653a04e76786e8891cfb6330a,448945bc713d98b6726e82eda6249b9e,delivered,"2018-08-29 08:46:11",497.25,2.00
c84d88553f9878bf2c7ecda2eb211ece,c4c66f47534e09a03fc7a878a9eda5ea,delivered,"2018-08-29 08:25:34",74.21,1.00
4c867c2aac81653679eff07e922441a0,8ffe52ac7d480a27180338e697eec534,delivered,"2018-08-28 22:51:54",38.36,1.00
e7c290bfc31d7eed478c3d3d2d4d2953,004440537b68545ca3c341d7279bc4c0,delivered,"2018-08-28 22:30:32",98.04,1.00
dbb786f88b6d4e52fe3cb5d771b979d6,478778636c75019554439f75286a22e3,delivered,"2018-08-28 21:56:30",161.97,8.00
3064071cf67a2cc381cd53b13055eac5,931bfab7036f6763dc1bdf6e2696e08b,delivered,"2018-08-28 21:56:12",27.46,2.00
00b44ba3d7c4a5e9a9ebafef9150781d,0b5f6687d659478f1747caed607c4ec5,delivered,"2018-08-28 21:10:46",67.58,1.00
cb9628da43a976b479b45230984a05b8,c5c43d14a781c58ed1fdac7c9652f18f,delivered,"2018-08-28 20:49:17",712.90,10.00
bda15d43b16684fa4eff328a7db33d8b,6eff0b0388f0e0829bd659d12e168828,delivered,"2018-08-28 19:44:25",128.99,2.00
d99a07d049ac5c39f6f62edba8d57721,f5fc6bc27d5c599cc9bed0a2eacf030e,delivered,"2018-08-28 19:32:31",111.62,3.00
d4fae577806d683110e00e18a5e181be,49a6ae8a95c6a78d90945b983ab1ecfc,delivered,"2018-08-28 19:32:05",139.42,1.00
20db59f6705840a0ce5c76b77487ad03,930ae890c223dddbd81d9870d9701ec7,delivered,"2018-08-28 19:31:41",185.82,2.00
6d6783e9e03bc56ba0d4f018d45babe3,eb9f43bc3cb1915ba52ea755eddad3d4,delivered,"2018-08-28 19:27:43",37.37,1.00
141d7ee98d9a50269f84d9a3c5330cba,db7432cb997db7083db6aaea715d3433,delivered,"2018-08-28 18:58:13",38.37,1.00
0ac69790e2a6e4c075edbd78648a3594,1c3d8766b5f8b24d7e95001ce31d1d38,delivered,"2018-08-28 18:49:20",14.89,1.00
ab7a53a8e94cab448240ff654797c44e,2f751d53058e28b3d51ad54852cc9c5e,delivered,"2018-08-28 17:39:38",259.81,2.00
93d7e1f0c5415c1a0679635187700f1d,1288df1d9da5e124c94b06a6ba3ca50b,delivered,"2018-08-28 16:33:22",216.58,8.00
986983dd21e5167fac109fadaf7aac16,fb7d19feca365f1522c65d99c2f590c4,delivered,"2018-08-28 15:58:28",260.50,4.00
2c1f8fd9aa5f50ec17f4c95e52223a3a,0b0e8ff0c3d490e69901bd6f0efa190a,delivered,"2018-08-28 15:53:09",58.36,3.00
9344079d5fbb7dd79af908b7eb667db7,be169d57b327a59f2db49cffdc6caf13,delivered,"2018-08-28 15:11:49",188.13,1.00
c59712a9767189f0a1e5258b5c3447b0,1613194aae75f127dd52a37566c138ca,delivered,"2018-08-28 14:37:52",66.67,1.00
d2ce2764e877473355ddb49af8eb3bc5,def6003502bb7701e2cdc0cb5af42cfe,delivered,"2018-08-28 14:32:59",120.93,5.00
f9e254c56ad8dc27d6fd34b26f94711f,7a60c49de204bb732d997d4382b7a0ec,delivered,"2018-08-28 14:11:30",27.29,1.00
dd7fbf8b53b7ffa059c926a77c42f04f,b0d59207d44937209cca2887ab613f5b,delivered,"2018-08-28 14:01:04",126.63,2.00
dec9169d4f8c2e229d7421e28ef70781,acffc70df5f0a2ddc0e094eea7f5f069,delivered,"2018-08-28 13:29:17",65.53,6.00
7b4f660a72183fc98991998a65320863,fa951727fe95bbd6c7488b84d147b7bd,delivered,"2018-08-28 13:28:34",21.89,1.00
d01395763bb11d18d9482f322715b80d,9f245dbd9c58b9856a0cfd5b2a481a6c,delivered,"2018-08-28 12:48:50",160.12,1.00
