customer_unique_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_code
e7f5d606557690f1afa6e202a4e5bfb6,15,1,6.00,1,1,1,111
1b95ba90c62e9f11e97ce1304f96b958,74,1,6.00,1,1,1,111
07bbb36baa13f6585ecfdb75cc635528,74,1,6.00,1,1,1,111
f2b9c7bc1551f6b12ae7581d792da02e,15,1,6.00,1,1,1,111
f9a26acb59201adc0031186ace6cdb18,14,1,6.00,1,1,1,111
ad2ca0de084cff1144d660d203d990cd,14,1,6.00,1,1,1,111
99a85972598ac28ae4f203676e133b31,14,1,6.00,1,1,1,111
1640e6be9241bec25253b78bcf8c89fa,74,1,6.00,1,1,1,111
4231d2ef71d2931cd73d0ef49ac64ed7,14,1,6.00,1,1,1,111
bf6ed8f5e35ee1636c7ae898e4d38a2f,14,1,6.00,1,1,1,111
d0b614ed8a43dca2f98a7c093723809d,14,1,6.00,1,1,1,111
e757dd9497298910a84a1919b8c35a8a,14,1,6.00,1,1,1,111
2c86215f20da4f0ebc1f31628afbaf45,14,1,6.00,1,1,1,111
11a39e3eb3968676aa98106a19642b30,14,1,6.00,1,1,1,111
198fa73f9282fb46d9b5b5c25394b7e1,14,1,6.00,1,1,1,111
7c3de819c5c8202f72ba56ff8f51ae39,14,1,6.00,1,1,1,111
b9789a3e295d180e8547cab255c5f24c,13,1,6.00,1,1,1,111
925a3849acfb1c22ec3f732af028df33,13,1,6.00,1,1,1,111
18f3465c95a1314ad1536112aa513110,13,1,6.00,1,1,1,111
178abcae329614ef88c84a4f2d01b536,13,1,6.00,1,1,1,111
e86daf283cea342d45723ddd6b84a6cb,13,1,6.00,1,1,1,111
e803bc718f4ff3c615edf9d17e4719b0,13,1,6.00,1,1,1,111
c8ad2ee30a24eb2e3a76b865d5313485,12,1,6.00,1,1,1,111
d25e390b3920f2d6c8a0739b96ff4afe,12,1,6.00,1,1,1,111
011733687890faf081be6fde9e7cc7a0,74,1,6.00,1,1,1,111
780344d838da47df96160e0d99bfccdd,12,1,6.00,1,1,1,111
46d2e80a1ca0ee7a62db0ab302e8b4b7,12,1,6.00,1,1,1,111
fbedc79d4d8599f925bb6bd2aa8cc60f,12,1,6.00,1,1,1,111
18d80539b48782943ec71ac9ce327aaf,12,1,6.00,1,1,1,111
036f41292af402f38e6ed17bacd3e174,11,1,6.00,1,1,1,111
cd13689db46ae3b167ccb071ebbc0e86,11,1,6.00,1,1,1,111
f35e7babf3a5077c2c95b2f837d5498e,11,1,6.00,1,1,1,111
4d386f0c8f4ca6760283647577ac8c6a,10,1,6.00,1,1,1,111
354be39d3b37cfd58e73f53cfd0174da,10,1,6.00,1,1,1,111
001928b561575b2821c92254a2327d06,10,1,6.00,1,1,1,111
29196be5455e33f24dc8fcaa916f5a2b,10,1,6.00,1,1,1,111
df9c264a06689dd14d8bb9da773b56a9,10,1,6.00,1,1,1,111
d81bc4bbe85d4432bbd96d5241268903,9,1,6.00,1,1,1,111
d459c8dd9847c3a7cff9d3ff8724c25a,8,1,6.00,1,1,1,111
c6760273ff7b02b258153dec36a884ad,7,1,6.00,1,1,1,111
8cb552bb3d3254767f1e9078064ed7cf,7,1,6.00,1,1,1,111
